totalPopulation: 100000,numberOfPublicPlaces: 200,publicPlaceOccupancyRate: 0.5,seedPopulationPercentage: 0.05,indoorInfectionRate: 0.5
Day #,Category 0,Category 1,Category 2,Category 3,Category 4
0,95173,4829,0,0,0
1,95852,4150,0,0,0
2,95947,3964,91,0,0
3,96020,3518,464,0,0
4,96097,3201,698,6,0
5,96214,2756,990,42,0
6,96371,2539,1024,65,3
7,96660,2032,1174,124,12
8,97139,1585,1095,151,32
9,97853,985,949,164,51
10,98627,495,685,130,65
11,99245,179,425,76,77
12,99666,46,190,16,84
13,99847,47,19,2,87
14,99858,43,12,1,88
15,99861,37,15,1,88
16,99868,32,13,1,88
17,99865,36,12,1,88
18,99862,37,13,2,88
19,99861,34,16,3,88
20,99862,30,17,4,89
21,99862,30,15,5,90
22,99863,28,15,5,91
23,99860,27,17,6,92
24,99861,24,18,6,93
25,99861,23,16,8,94
26,99865,20,15,6,96
27,99867,19,14,5,97
28,99869,16,13,6,98
29,99871,15,12,5,99
30,99874,13,11,5,99
31,99876,12,12,2,100
32,99881,12,6,2,101
33,99882,11,6,2,101
34,99886,10,3,2,101
35,99889,8,2,2,101
36,99890,6,3,2,101
37,99891,6,2,2,101
38,99887,9,4,1,101
39,99890,8,2,1,101
40,99888,10,2,1,101
41,99887,9,4,1,101
42,99886,10,4,1,101
43,99883,12,5,1,101
44,99884,9,7,1,101
45,99885,7,8,1,101
46,99886,7,7,1,101
47,99887,8,5,1,101
48,99889,8,3,1,101
49,99889,7,4,1,101
50,99889,8,3,1,101
