totalPopulation: 918702,numberOfPublicPlaces: 1000,publicPlaceOccupancyRate: 0.9,seedPopulationPercentage: 0.05,indoorInfectionRate: 0.2
Day #,Category 0,Category 1,Category 2,Category 3,Category 4
0,872766,45936,0,0,0
1,872688,45917,64,31,2,44441
2,872683,45917,68,32,2,61353
3,872683,45917,68,32,2,77895
4,872683,45917,68,32,2,94007
5,872683,45917,68,32,2,109724
6,872683,45917,68,32,2,124952
7,872683,45917,68,32,2,139852
8,872690,45910,68,32,2,154422
9,873548,45055,66,31,2,168614
10,874419,44186,66,29,2,182440
11,875295,43312,66,27,2,195886
12,876124,42487,63,26,2,209040
13,876932,41683,59,26,2,221965
14,877743,40873,58,26,2,234471
15,878494,40122,58,26,2,246708
16,879277,39340,57,26,2,258726
17,879996,38621,57,26,2,270380
18,880739,37880,56,25,2,281917
19,881428,37194,54,24,2,293163
20,882164,36459,53,24,2,304054
21,882845,35778,53,24,2,314755
22,883530,35094,52,24,2,325267
23,884183,34441,53,23,2,335467
24,884784,33842,51,23,2,345530
25,885420,33207,51,22,2,355416
26,886074,32554,51,21,2,365012
27,886676,31954,49,21,2,374482
28,887235,31395,50,20,2,383634
29,887793,30839,48,20,2,392643
30,888393,30240,48,19,2,401370
31,888916,29718,47,19,2,410109
32,889456,29180,45,19,2,418523
33,890000,28637,44,19,2,426859
34,890510,28128,43,19,2,435068
35,891016,27622,43,19,2,442905
36,891504,27135,42,19,2,450708
37,892000,26640,41,19,2,458377
38,892497,26143,41,19,2,465883
39,892998,25642,42,18,2,473200
40,893463,25179,41,17,2,480504
41,893998,24646,42,14,2,487638
42,894441,24209,36,14,2,494645
43,894890,23762,34,14,2,501558
44,895336,23316,34,14,2,508262
45,895744,22908,34,14,2,514878
46,896161,22492,33,14,2,521376
47,896565,22088,33,14,2,527719
48,896933,21720,33,14,2,533919
49,896934,21719,33,14,2,540092
50,896934,21719,33,14,2,545871
